payment_id,subscription_id,payment_date,amount,payment_status,refund_flag,payment_month
500054,100009,2024-05-01,26.1,Paid,False,2024-05
500055,100009,2024-06-01,26.1,Paid,False,2024-06
500056,100009,2024-07-01,26.1,Paid,False,2024-07
500057,100009,2024-08-01,26.1,Paid,False,2024-08
500058,100009,2024-09-01,26.1,Paid,False,2024-09
500059,100009,2024-10-01,26.1,Paid,False,2024-10
500060,100009,2024-11-01,26.1,Paid,False,2024-11
500061,100009,2024-12-01,26.1,Paid,False,2024-12
500062,100009,2025-01-01,26.1,Paid,False,2025-01
500063,100009,2025-02-01,26.1,Paid,False,2025-02
500064,100009,2025-03-01,26.1,Paid,False,2025-03
500065,100009,2025-04-01,26.1,Paid,False,2025-04
500066,100009,2025-05-01,26.1,Paid,False,2025-05
500067,100009,2025-06-01,26.1,Paid,False,2025-06
500068,100009,2025-07-01,26.1,Paid,False,2025-07
500069,100009,2025-08-01,26.1,Paid,False,2025-08
500070,100009,2025-09-01,26.1,Paid,False,2025-09
500071,100009,2025-10-01,26.1,Paid,False,2025-10
500072,100009,2025-11-01,26.1,Paid,False,2025-11
500073,100009,2025-12-01,26.1,Paid,False,2025-12
500074,100010,2024-01-01,79.0,Paid,False,2024-01
500075,100010,2025-01-01,79.0,Paid,False,2025-01
500076,100011,2024-12-06,29.0,Failed,False,2024-12
500077,100011,2025-01-06,29.0,Paid,False,2025-01
500078,100011,2025-02-06,29.0,Paid,False,2025-02
500079,100011,2025-03-06,29.0,Paid,False,2025-03
500080,100011,2025-04-06,29.0,Paid,False,2025-04
500081,100011,2025-05-06,29.0,Paid,False,2025-05
500082,100011,2025-06-06,29.0,Paid,False,2025-06
500083,100011,2025-07-06,29.0,Paid,False,2025-07
500084,100011,2025-08-06,29.0,Paid,False,2025-08
500085,100011,2025-09-06,29.0,Paid,False,2025-09
500086,100011,2025-10-06,29.0,Paid,False,2025-10
500087,100011,2025-11-06,29.0,Paid,False,2025-11
500088,100011,2025-12-06,29.0,Paid,False,2025-12
500089,100012,2024-09-07,199.0,Failed,False,2024-09
500090,100012,2025-09-07,199.0,Paid,False,2025-09
500091,100013,2024-01-01,79.0,Paid,False,2024-01
500092,100013,2025-01-01,79.0,Paid,False,2025-01
500093,100014,2024-01-01,29.0,Paid,False,2024-01
500094,100014,2024-02-01,29.0,Paid,False,2024-02
500095,100014,2024-03-01,29.0,Paid,False,2024-03
500096,100014,2024-04-01,29.0,Paid,False,2024-04
500097,100014,2024-05-01,29.0,Paid,False,2024-05
500098,100014,2024-06-01,29.0,Paid,False,2024-06
500099,100014,2024-07-01,29.0,Paid,False,2024-07
500100,100014,2024-08-01,29.0,Paid,False,2024-08
500101,100014,2024-09-01,29.0,Paid,False,2024-09
500102,100014,2024-10-01,29.0,Paid,False,2024-10
500103,100014,2024-11-01,29.0,Paid,False,2024-11
500104,100014,2024-12-01,29.0,Paid,False,2024-12
500105,100014,2025-01-01,29.0,Paid,False,2025-01
500106,100014,2025-02-01,29.0,Paid,False,2025-02
500107,100014,2025-03-01,29.0,Paid,False,2025-03
500108,100014,2025-04-01,29.0,Paid,False,2025-04
500109,100014,2025-05-01,29.0,Paid,False,2025-05
500110,100014,2025-06-01,29.0,Paid,False,2025-06
500111,100014,2025-07-01,29.0,Paid,False,2025-07
500112,100014,2025-08-01,29.0,Paid,False,2025-08
500113,100014,2025-09-01,29.0,Paid,False,2025-09
500114,100014,2025-10-01,29.0,Paid,False,2025-10
500115,100014,2025-11-01,29.0,Paid,False,2025-11
500116,100014,2025-12-01,29.0,Paid,False,2025-12
500117,100015,2024-01-01,27.55,Paid,False,2024-01
500118,100015,2024-02-01,27.55,Failed,False,2024-02
500119,100015,2024-03-01,27.55,Paid,False,2024-03
500120,100015,2024-04-01,27.55,Paid,False,2024-04
500121,100015,2024-05-01,27.55,Paid,False,2024-05
500122,100015,2024-06-01,27.55,Refunded,True,2024-06
500123,100015,2024-07-01,27.55,Failed,False,2024-07
500124,100015,2024-08-01,27.55,Paid,False,2024-08
500125,100015,2024-09-01,27.55,Failed,False,2024-09
500126,100015,2024-10-01,27.55,Paid,False,2024-10
500127,100015,2024-11-01,27.55,Refunded,True,2024-11
500128,100015,2024-12-01,27.55,Paid,False,2024-12
500129,100015,2025-01-01,27.55,Paid,False,2025-01
500130,100015,2025-02-01,27.55,Paid,False,2025-02
500131,100015,2025-03-01,27.55,Paid,False,2025-03
500132,100015,2025-04-01,27.55,Paid,False,2025-04
500133,100015,2025-05-01,27.55,Paid,False,2025-05
500134,100015,2025-06-01,27.55,Paid,False,2025-06
500135,100015,2025-07-01,27.55,Refunded,True,2025-07
500136,100015,2025-08-01,27.55,Paid,False,2025-08
500137,100015,2025-09-01,27.55,Paid,False,2025-09
500138,100015,2025-10-01,27.55,Failed,False,2025-10
500139,100015,2025-11-01,27.55,Paid,False,2025-11
500140,100015,2025-12-01,27.55,Paid,False,2025-12
500141,100016,2024-01-01,199.0,Paid,False,2024-01
500142,100016,2025-01-01,199.0,Paid,False,2025-01
500143,100017,2024-01-01,79.0,Paid,False,2024-01
500144,100017,2025-01-01,79.0,Paid,False,2025-01
500145,100018,2024-01-01,199.0,Failed,False,2024-01
500146,100018,2025-01-01,199.0,Paid,False,2025-01
500147,100019,2025-03-06,26.1,Paid,False,2025-03
500148,100019,2025-04-06,26.1,Paid,False,2025-04
500149,100019,2025-05-06,26.1,Paid,False,2025-05
500150,100019,2025-06-06,26.1,Paid,False,2025-06
500151,100019,2025-07-06,26.1,Paid,False,2025-07
500152,100019,2025-08-06,26.1,Paid,False,2025-08
500153,100019,2025-09-06,26.1,Refunded,True,2025-09
500154,100019,2025-10-06,26.1,Paid,False,2025-10
500155,100019,2025-11-06,26.1,Paid,False,2025-11
500156,100019,2025-12-06,26.1,Paid,False,2025-12
500157,100020,2024-04-10,26.1,Paid,False,2024-04
500158,100020,2024-05-10,26.1,Paid,False,2024-05
500159,100020,2024-06-10,26.1,Paid,False,2024-06
500160,100020,2024-07-10,26.1,Paid,False,2024-07
500161,100020,2024-08-10,26.1,Paid,False,2024-08
500162,100020,2024-09-10,26.1,Paid,False,2024-09
500163,100020,2024-10-10,26.1,Paid,False,2024-10
500164,100020,2024-11-10,26.1,Paid,False,2024-11
500165,100020,2024-12-10,26.1,Paid,False,2024-12
500166,100020,2025-01-10,26.1,Paid,False,2025-01
500167,100020,2025-02-10,26.1,Paid,False,2025-02
500168,100020,2025-03-10,26.1,Paid,False,2025-03
500169,100020,2025-04-10,26.1,Paid,False,2025-04
500170,100020,2025-05-10,26.1,Paid,False,2025-05
500171,100020,2025-06-10,26.1,Paid,False,2025-06
500172,100020,2025-07-10,26.1,Paid,False,2025-07
500173,100020,2025-08-10,26.1,Paid,False,2025-08
500174,100020,2025-09-10,26.1,Paid,False,2025-09
500175,100020,2025-10-10,26.1,Paid,False,2025-10
500176,100020,2025-11-10,26.1,Paid,False,2025-11
500177,100020,2025-12-10,26.1,Paid,False,2025-12
500178,100021,2025-12-01,27.55,Paid,False,2025-12
500179,100022,2025-01-05,75.05,Paid,False,2025-01
500180,100023,2025-12-01,26.1,Paid,False,2025-12
500181,100024,2024-01-01,199.0,Paid,False,2024-01
500182,100024,2025-01-01,199.0,Paid,False,2025-01
500183,100025,2024-01-01,29.0,Paid,False,2024-01
500184,100025,2024-02-01,29.0,Paid,False,2024-02
500185,100025,2024-03-01,29.0,Paid,False,2024-03
500186,100025,2024-04-01,29.0,Paid,False,2024-04
500187,100025,2024-05-01,29.0,Paid,False,2024-05
500188,100025,2024-06-01,29.0,Paid,False,2024-06
500189,100025,2024-07-01,29.0,Paid,False,2024-07
500190,100025,2024-08-01,29.0,Paid,False,2024-08
500191,100025,2024-09-01,29.0,Paid,False,2024-09
500192,100025,2024-10-01,29.0,Paid,False,2024-10
500193,100025,2024-11-01,29.0,Paid,False,2024-11
500194,100025,2024-12-01,29.0,Paid,False,2024-12
500195,100025,2025-01-01,29.0,Paid,False,2025-01
500196,100025,2025-02-01,29.0,Paid,False,2025-02
500197,100025,2025-03-01,29.0,Paid,False,2025-03
500198,100025,2025-04-01,29.0,Paid,False,2025-04
500199,100025,2025-05-01,29.0,Paid,False,2025-05
500200,100025,2025-06-01,29.0,Paid,False,2025-06
500201,100025,2025-07-01,29.0,Failed,False,2025-07
500202,100025,2025-08-01,29.0,Paid,False,2025-08
500203,100025,2025-09-01,29.0,Paid,False,2025-09
500204,100025,2025-10-01,29.0,Paid,False,2025-10
500205,100025,2025-11-01,29.0,Paid,False,2025-11
500206,100025,2025-12-01,29.0,Paid,False,2025-12
500207,100026,2024-01-01,29.0,Paid,False,2024-01
500208,100026,2024-02-01,29.0,Paid,False,2024-02
500209,100026,2024-03-01,29.0,Paid,False,2024-03
500210,100026,2024-04-01,29.0,Paid,False,2024-04
500211,100026,2024-05-01,29.0,Paid,False,2024-05
500212,100026,2024-06-01,29.0,Paid,False,2024-06
500213,100026,2024-07-01,29.0,Paid,False,2024-07
500214,100026,2024-08-01,29.0,Paid,False,2024-08
500215,100026,2024-09-01,29.0,Paid,False,2024-09
500216,100026,2024-10-01,29.0,Paid,False,2024-10
500217,100026,2024-11-01,29.0,Paid,False,2024-11
500218,100026,2024-12-01,29.0,Paid,False,2024-12
500219,100026,2025-01-01,29.0,Paid,False,2025-01
500220,100026,2025-02-01,29.0,Paid,False,2025-02
500221,100026,2025-03-01,29.0,Paid,False,2025-03
500222,100026,2025-04-01,29.0,Paid,False,2025-04
500223,100026,2025-05-01,29.0,Paid,False,2025-05
500224,100026,2025-06-01,29.0,Failed,False,2025-06
500225,100026,2025-07-01,29.0,Paid,False,2025-07
500226,100026,2025-08-01,29.0,Paid,False,2025-08
500227,100026,2025-09-01,29.0,Paid,False,2025-09
500228,100026,2025-10-01,29.0,Paid,False,2025-10
500229,100026,2025-11-01,29.0,Paid,False,2025-11
500230,100026,2025-12-01,29.0,Paid,False,2025-12
500231,100027,2024-01-01,29.0,Paid,False,2024-01
500232,100027,2024-02-01,29.0,Paid,False,2024-02
500233,100027,2024-03-01,29.0,Paid,False,2024-03
500234,100027,2024-04-01,29.0,Paid,False,2024-04
500235,100027,2024-05-01,29.0,Paid,False,2024-05
500236,100027,2024-06-01,29.0,Paid,False,2024-06
500237,100027,2024-07-01,29.0,Paid,False,2024-07
500238,100027,2024-08-01,29.0,Failed,False,2024-08
500239,100027,2024-09-01,29.0,Paid,False,2024-09
500240,100027,2024-10-01,29.0,Paid,False,2024-10
500241,100027,2024-11-01,29.0,Paid,False,2024-11
500242,100027,2024-12-01,29.0,Paid,False,2024-12
500243,100027,2025-01-01,29.0,Paid,False,2025-01
500244,100027,2025-02-01,29.0,Paid,False,2025-02
500245,100027,2025-03-01,29.0,Paid,False,2025-03
500246,100027,2025-04-01,29.0,Paid,False,2025-04
500247,100027,2025-05-01,29.0,Paid,False,2025-05
500248,100027,2025-06-01,29.0,Paid,False,2025-06
500249,100027,2025-07-01,29.0,Paid,False,2025-07
500250,100027,2025-08-01,29.0,Paid,False,2025-08
500251,100027,2025-09-01,29.0,Paid,False,2025-09
500252,100027,2025-10-01,29.0,Paid,False,2025-10
500253,100027,2025-11-01,29.0,Paid,False,2025-11
500254,100027,2025-12-01,29.0,Paid,False,2025-12
500255,100028,2025-12-01,24.65,Paid,False,2025-12
500256,100029,2024-01-01,199.0,Paid,False,2024-01
500257,100029,2025-01-01,199.0,Paid,False,2025-01
500258,100030,2024-08-08,29.0,Paid,False,2024-08
500259,100030,2024-09-08,29.0,Refunded,True,2024-09
500260,100030,2024-10-08,29.0,Paid,False,2024-10
500261,100030,2024-11-08,29.0,Paid,False,2024-11
500262,100030,2024-12-08,29.0,Paid,False,2024-12
500263,100030,2025-01-08,29.0,Paid,False,2025-01
500264,100030,2025-02-08,29.0,Paid,False,2025-02
500265,100030,2025-03-08,29.0,Paid,False,2025-03
500266,100030,2025-04-08,29.0,Paid,False,2025-04
500267,100030,2025-05-08,29.0,Paid,False,2025-05
500268,100030,2025-06-08,29.0,Paid,False,2025-06
500269,100030,2025-07-08,29.0,Failed,False,2025-07
500270,100030,2025-08-08,29.0,Paid,False,2025-08
500271,100030,2025-09-08,29.0,Paid,False,2025-09
500272,100030,2025-10-08,29.0,Paid,False,2025-10
500273,100030,2025-11-08,29.0,Paid,False,2025-11
500274,100030,2025-12-08,29.0,Paid,False,2025-12
500275,100031,2024-01-01,199.0,Paid,False,2024-01
500276,100031,2025-01-01,199.0,Paid,False,2025-01
500277,100032,2025-11-01,29.0,Paid,False,2025-11
500278,100032,2025-12-01,29.0,Paid,False,2025-12
500279,100033,2024-01-01,79.0,Paid,False,2024-01
500280,100033,2025-01-01,79.0,Paid,False,2025-01
500281,100034,2025-12-01,29.0,Paid,False,2025-12
500282,100035,2025-12-01,29.0,Paid,False,2025-12
500283,100036,2024-01-01,179.1,Paid,False,2024-01
500284,100036,2025-01-01,179.1,Paid,False,2025-01
500285,100037,2025-08-03,29.0,Paid,False,2025-08
500286,100037,2025-09-03,29.0,Paid,False,2025-09
500287,100037,2025-10-03,29.0,Paid,False,2025-10
500288,100037,2025-11-03,29.0,Paid,False,2025-11
500289,100037,2025-12-03,29.0,Paid,False,2025-12
500290,100038,2024-01-01,29.0,Paid,False,2024-01
500291,100038,2024-02-01,29.0,Paid,False,2024-02
500292,100038,2024-03-01,29.0,Paid,False,2024-03
500293,100038,2024-04-01,29.0,Paid,False,2024-04
500294,100038,2024-05-01,29.0,Paid,False,2024-05
500295,100038,2024-06-01,29.0,Paid,False,2024-06
500296,100038,2024-07-01,29.0,Paid,False,2024-07
500297,100038,2024-08-01,29.0,Paid,False,2024-08
500298,100038,2024-09-01,29.0,Paid,False,2024-09
500299,100038,2024-10-01,29.0,Paid,False,2024-10
500300,100038,2024-11-01,29.0,Paid,False,2024-11
500301,100038,2024-12-01,29.0,Paid,False,2024-12
500302,100038,2025-01-01,29.0,Paid,False,2025-01
500303,100038,2025-02-01,29.0,Paid,False,2025-02
500304,100038,2025-03-01,29.0,Paid,False,2025-03
500305,100038,2025-04-01,29.0,Paid,False,2025-04
500306,100038,2025-05-01,29.0,Paid,False,2025-05
500307,100038,2025-06-01,29.0,Paid,False,2025-06
500308,100038,2025-07-01,29.0,Paid,False,2025-07
500309,100038,2025-08-01,29.0,Refunded,True,2025-08
500310,100038,2025-09-01,29.0,Paid,False,2025-09
500311,100038,2025-10-01,29.0,Paid,False,2025-10
500312,100038,2025-11-01,29.0,Paid,False,2025-11
500313,100038,2025-12-01,29.0,Paid,False,2025-12
500314,100039,2024-01-01,27.55,Paid,False,2024-01
500315,100039,2024-02-01,27.55,Paid,False,2024-02
500316,100039,2024-03-01,27.55,Paid,False,2024-03
500317,100039,2024-04-01,27.55,Paid,False,2024-04
500318,100039,2024-05-01,27.55,Paid,False,2024-05
500319,100039,2024-06-01,27.55,Paid,False,2024-06
500320,100039,2024-07-01,27.55,Paid,False,2024-07
500321,100039,2024-08-01,27.55,Paid,False,2024-08
500322,100039,2024-09-01,27.55,Refunded,True,2024-09
500323,100039,2024-10-01,27.55,Paid,False,2024-10
500324,100039,2024-11-01,27.55,Paid,False,2024-11
500325,100039,2024-12-01,27.55,Paid,False,2024-12
500326,100039,2025-01-01,27.55,Paid,False,2025-01
500327,100039,2025-02-01,27.55,Paid,False,2025-02
500328,100039,2025-03-01,27.55,Paid,False,2025-03
500329,100039,2025-04-01,27.55,Paid,False,2025-04
500330,100039,2025-05-01,27.55,Paid,False,2025-05
500331,100039,2025-06-01,27.55,Paid,False,2025-06
500332,100039,2025-07-01,27.55,Paid,False,2025-07
500333,100039,2025-08-01,27.55,Paid,False,2025-08
500334,100039,2025-09-01,27.55,Paid,False,2025-09
500335,100039,2025-10-01,27.55,Paid,False,2025-10
500336,100039,2025-11-01,27.55,Paid,False,2025-11
500337,100039,2025-12-01,27.55,Paid,False,2025-12
500338,100040,2025-02-04,29.0,Paid,False,2025-02
500339,100040,2025-03-04,29.0,Paid,False,2025-03
500340,100040,2025-04-04,29.0,Paid,False,2025-04
500341,100040,2025-05-04,29.0,Paid,False,2025-05
500342,100040,2025-06-04,29.0,Paid,False,2025-06
500343,100040,2025-07-04,29.0,Paid,False,2025-07
500344,100040,2025-08-04,29.0,Paid,False,2025-08
500345,100040,2025-09-04,29.0,Paid,False,2025-09
500346,100040,2025-10-04,29.0,Paid,False,2025-10
500347,100040,2025-11-04,29.0,Paid,False,2025-11
500348,100040,2025-12-04,29.0,Paid,False,2025-12
500349,100041,2025-03-06,75.05,Refunded,True,2025-03
500350,100042,2024-01-01,189.05,Paid,False,2024-01
500351,100042,2025-01-01,189.05,Paid,False,2025-01
500352,100043,2024-08-08,67.15,Paid,False,2024-08
500353,100043,2025-08-08,67.15,Paid,False,2025-08
500354,100044,2024-01-01,189.05,Paid,False,2024-01
500355,100044,2025-01-01,189.05,Paid,False,2025-01
500356,100045,2024-12-06,29.0,Paid,False,2024-12
500357,100045,2025-01-06,29.0,Paid,False,2025-01
500358,100045,2025-02-06,29.0,Paid,False,2025-02
500359,100045,2025-03-06,29.0,Paid,False,2025-03
500360,100045,2025-04-06,29.0,Paid,False,2025-04
500361,100045,2025-05-06,29.0,Paid,False,2025-05
500362,100045,2025-06-06,29.0,Paid,False,2025-06
500363,100045,2025-07-06,29.0,Paid,False,2025-07
500364,100045,2025-08-06,29.0,Paid,False,2025-08
500365,100045,2025-09-06,29.0,Paid,False,2025-09
500366,100045,2025-10-06,29.0,Paid,False,2025-10
500367,100045,2025-11-06,29.0,Paid,False,2025-11
500368,100045,2025-12-06,29.0,Paid,False,2025-12
500369,100046,2024-01-01,29.0,Paid,False,2024-01
500370,100046,2024-02-01,29.0,Paid,False,2024-02
500371,100046,2024-03-01,29.0,Refunded,True,2024-03
500372,100046,2024-04-01,29.0,Paid,False,2024-04
500373,100046,2024-05-01,29.0,Paid,False,2024-05
500374,100046,2024-06-01,29.0,Paid,False,2024-06
500375,100046,2024-07-01,29.0,Paid,False,2024-07
500376,100046,2024-08-01,29.0,Paid,False,2024-08
500377,100046,2024-09-01,29.0,Paid,False,2024-09
500378,100046,2024-10-01,29.0,Paid,False,2024-10
500379,100046,2024-11-01,29.0,Paid,False,2024-11
500380,100046,2024-12-01,29.0,Paid,False,2024-12
500381,100046,2025-01-01,29.0,Paid,False,2025-01
500382,100046,2025-02-01,29.0,Paid,False,2025-02
500383,100046,2025-03-01,29.0,Paid,False,2025-03
500384,100046,2025-04-01,29.0,Paid,False,2025-04
500385,100046,2025-05-01,29.0,Paid,False,2025-05
500386,100046,2025-06-01,29.0,Paid,False,2025-06
500387,100046,2025-07-01,29.0,Paid,False,2025-07
500388,100046,2025-08-01,29.0,Paid,False,2025-08
500389,100046,2025-09-01,29.0,Paid,False,2025-09
500390,100046,2025-10-01,29.0,Paid,False,2025-10
500391,100046,2025-11-01,29.0,Paid,False,2025-11
500392,100046,2025-12-01,29.0,Paid,False,2025-12
500393,100047,2025-11-01,29.0,Paid,False,2025-11
500394,100047,2025-12-01,29.0,Paid,False,2025-12
500395,100048,2025-11-01,29.0,Paid,False,2025-11
500396,100048,2025-12-01,29.0,Refunded,True,2025-12
500397,100049,2024-01-01,199.0,Paid,False,2024-01
500398,100049,2025-01-01,199.0,Paid,False,2025-01
500399,100050,2024-01-01,199.0,Paid,False,2024-01
500400,100050,2025-01-01,199.0,Paid,False,2025-01
500401,100051,2024-01-01,27.55,Paid,False,2024-01
500402,100051,2024-02-01,27.55,Paid,False,2024-02
500403,100051,2024-03-01,27.55,Paid,False,2024-03
500404,100051,2024-04-01,27.55,Failed,False,2024-04
500405,100051,2024-05-01,27.55,Paid,False,2024-05
500406,100051,2024-06-01,27.55,Paid,False,2024-06
500407,100051,2024-07-01,27.55,Paid,False,2024-07
500408,100051,2024-08-01,27.55,Paid,False,2024-08
500409,100051,2024-09-01,27.55,Paid,False,2024-09
500410,100051,2024-10-01,27.55,Paid,False,2024-10
500411,100051,2024-11-01,27.55,Paid,False,2024-11
500412,100051,2024-12-01,27.55,Paid,False,2024-12
500413,100051,2025-01-01,27.55,Paid,False,2025-01
500414,100051,2025-02-01,27.55,Paid,False,2025-02
500415,100051,2025-03-01,27.55,Paid,False,2025-03
500416,100051,2025-04-01,27.55,Paid,False,2025-04
500417,100051,2025-05-01,27.55,Paid,False,2025-05
500418,100051,2025-06-01,27.55,Paid,False,2025-06
500419,100051,2025-07-01,27.55,Failed,False,2025-07
500420,100051,2025-08-01,27.55,Paid,False,2025-08
500421,100051,2025-09-01,27.55,Paid,False,2025-09
500422,100051,2025-10-01,27.55,Paid,False,2025-10
500423,100051,2025-11-01,27.55,Paid,False,2025-11
500424,100051,2025-12-01,27.55,Paid,False,2025-12
500425,100052,2024-10-07,29.0,Paid,False,2024-10
500426,100052,2024-11-07,29.0,Paid,False,2024-11
500427,100052,2024-12-07,29.0,Paid,False,2024-12
500428,100052,2025-01-07,29.0,Paid,False,2025-01
500429,100052,2025-02-07,29.0,Paid,False,2025-02
500430,100052,2025-03-07,29.0,Paid,False,2025-03
500431,100052,2025-04-07,29.0,Paid,False,2025-04
500432,100052,2025-05-07,29.0,Paid,False,2025-05
500433,100052,2025-06-07,29.0,Paid,False,2025-06
500434,100052,2025-07-07,29.0,Paid,False,2025-07
500435,100052,2025-08-07,29.0,Paid,False,2025-08
500436,100052,2025-09-07,29.0,Paid,False,2025-09
500437,100052,2025-10-07,29.0,Paid,False,2025-10
500438,100052,2025-11-07,29.0,Paid,False,2025-11
500439,100052,2025-12-07,29.0,Paid,False,2025-12
500440,100053,2024-01-01,29.0,Paid,False,2024-01
500441,100053,2024-02-01,29.0,Refunded,True,2024-02
500442,100053,2024-03-01,29.0,Paid,False,2024-03
500443,100053,2024-04-01,29.0,Failed,False,2024-04
500444,100053,2024-05-01,29.0,Failed,False,2024-05
500445,100053,2024-06-01,29.0,Paid,False,2024-06
500446,100053,2024-07-01,29.0,Paid,False,2024-07
500447,100053,2024-08-01,29.0,Paid,False,2024-08
500448,100053,2024-09-01,29.0,Paid,False,2024-09
500449,100053,2024-10-01,29.0,Paid,False,2024-10
500450,100053,2024-11-01,29.0,Paid,False,2024-11
500451,100053,2024-12-01,29.0,Paid,False,2024-12
500452,100053,2025-01-01,29.0,Paid,False,2025-01
500453,100053,2025-02-01,29.0,Paid,False,2025-02
500454,100053,2025-03-01,29.0,Paid,False,2025-03
500455,100053,2025-04-01,29.0,Paid,False,2025-04
500456,100053,2025-05-01,29.0,Paid,False,2025-05
500457,100053,2025-06-01,29.0,Paid,False,2025-06
500458,100053,2025-07-01,29.0,Paid,False,2025-07
500459,100053,2025-08-01,29.0,Paid,False,2025-08
500460,100053,2025-09-01,29.0,Paid,False,2025-09
500461,100053,2025-10-01,29.0,Paid,False,2025-10
500462,100053,2025-11-01,29.0,Paid,False,2025-11
500463,100053,2025-12-01,29.0,Paid,False,2025-12
500464,100054,2025-05-05,29.0,Paid,False,2025-05
500465,100054,2025-06-05,29.0,Paid,False,2025-06
500466,100054,2025-07-05,29.0,Paid,False,2025-07
500467,100054,2025-08-05,29.0,Paid,False,2025-08
500468,100054,2025-09-05,29.0,Paid,False,2025-09
500469,100054,2025-10-05,29.0,Paid,False,2025-10
500470,100054,2025-11-05,29.0,Paid,False,2025-11
500471,100054,2025-12-05,29.0,Paid,False,2025-12
500472,100055,2024-01-01,75.05,Paid,False,2024-01
500473,100055,2025-01-01,75.05,Paid,False,2025-01
500474,100056,2024-07-09,26.1,Paid,False,2024-07
500475,100056,2024-08-09,26.1,Paid,False,2024-08
500476,100056,2024-09-09,26.1,Paid,False,2024-09
500477,100056,2024-10-09,26.1,Paid,False,2024-10
500478,100056,2024-11-09,26.1,Paid,False,2024-11
500479,100056,2024-12-09,26.1,Paid,False,2024-12
500480,100056,2025-01-09,26.1,Paid,False,2025-01
500481,100056,2025-02-09,26.1,Paid,False,2025-02
500482,100056,2025-03-09,26.1,Paid,False,2025-03
500483,100056,2025-04-09,26.1,Paid,False,2025-04
500484,100056,2025-05-09,26.1,Paid,False,2025-05
500485,100056,2025-06-09,26.1,Paid,False,2025-06
500486,100056,2025-07-09,26.1,Paid,False,2025-07
500487,100056,2025-08-09,26.1,Paid,False,2025-08
500488,100056,2025-09-09,26.1,Paid,False,2025-09
500489,100056,2025-10-09,26.1,Paid,False,2025-10
500490,100056,2025-11-09,26.1,Paid,False,2025-11
500491,100056,2025-12-09,26.1,Paid,False,2025-12
500492,100057,2024-01-01,79.0,Paid,False,2024-01
500493,100057,2025-01-01,79.0,Paid,False,2025-01
500494,100058,2024-01-01,75.05,Paid,False,2024-01
500495,100058,2025-01-01,75.05,Paid,False,2025-01
500496,100059,2024-01-01,199.0,Paid,False,2024-01
500497,100059,2025-01-01,199.0,Paid,False,2025-01
