user_id,customer_id,gender,senior_citizen,partner,dependents,signup_date,country,industry,company_size,acquisition_channel,device_type
25,6322-HRPFA,Male,0,Yes,Yes,2021-12-22,Canada,Manufacturing,Startup,Referral,Mobile
26,6865-JZNKO,Female,0,No,No,2023-07-15,India,Technology,Startup,Partner,Mobile
27,6467-CHFZW,Male,0,Yes,Yes,2022-02-20,United States,Finance,SMB,Organic Search,Desktop
28,8665-UTDHZ,Male,0,Yes,Yes,2025-12-01,Canada,Finance,Mid-Market,Organic Search,Desktop
29,5248-YGIJN,Male,0,Yes,No,2020-02-01,United Kingdom,Technology,SMB,Email Campaign,Desktop
30,8773-HHUOZ,Female,0,No,Yes,2024-08-08,United States,Finance,SMB,Partner,Desktop
31,3841-NFECX,Female,1,Yes,No,2020-03-02,United Kingdom,Retail,Startup,,Desktop
32,4929-XIHVW,Male,1,Yes,No,2025-11-01,United States,Manufacturing,Mid-Market,LinkedIn,Desktop
33,6827-IEAUQ,Female,0,Yes,Yes,2023-10-13,United States,Education,Mid-Market,Partner,Desktop
34,7310-EGVHZ,Male,0,No,No,2025-12-01,Australia,Healthcare,Enterprise,Email Campaign,Mobile
35,3413-BMNZE,Male,1,No,No,2025-12-01,Australia,Finance,Startup,Email Campaign,Mobile
36,6234-RAAPL,Female,0,Yes,Yes,2020-02-01,India,Finance,Mid-Market,LinkedIn,Mobile
37,6047-YHPVI,Male,0,No,No,2025-08-03,United States,Healthcare,SMB,Organic Search,Mobile
38,6572-ADKRS,Female,0,No,No,2022-03-22,United States,Finance,SMB,Organic Search,Desktop
39,5380-WJKOV,Male,0,No,No,2023-03-17,Germany,Healthcare,Mid-Market,Google Ads,Desktop
40,8168-UQWWF,Female,0,No,No,2025-02-04,United States,Technology,Startup,Email Campaign,Desktop
41,8865-TNMNX,Male,0,Yes,Yes,2025-03-06,United States,Retail,Startup,LinkedIn,Mobile
42,9489-DEDVP,Female,0,Yes,Yes,2020-04-01,Canada,Retail,Mid-Market,Email Campaign,Tablet
43,9867-JCZSP,Female,0,Yes,Yes,2024-08-08,United States,Manufacturing,SMB,Referral,Desktop
44,4671-VJLCL,Female,0,No,No,2020-10-28,Australia,Education,Startup,,Desktop
45,4080-IIARD,Female,0,Yes,No,2024-12-06,United States,Finance,SMB,Email Campaign,Mobile
46,3714-NTNFO,Female,0,No,No,2021-12-22,Germany,Education,SMB,Referral,Mobile
47,5948-UJZLF,Male,0,No,No,2025-11-01,United States,Technology,Enterprise,Referral,Desktop
48,7760-OYPDY,Female,0,No,No,2025-11-01,Canada,Retail,Startup,LinkedIn,Desktop
49,7639-LIAYI,Male,0,No,No,2021-09-23,Canada,Technology,Mid-Market,Organic Search,Mobile
50,2954-PIBKO,Female,0,Yes,Yes,2020-05-01,United States,Technology,Startup,Google Ads,Desktop
51,8012-SOUDQ,Female,1,No,No,2022-06-20,Australia,Finance,Startup,Referral,Mobile
52,9420-LOJKX,Female,0,No,No,2024-10-07,India,Technology,Startup,Organic Search,Mobile
53,6575-SUVOI,Female,1,Yes,No,2023-12-12,Australia,Retail,Mid-Market,LinkedIn,Tablet
54,7495-OOKFY,Female,1,Yes,No,2025-05-05,India,Education,Startup,Partner,Desktop
55,4667-QONEA,Female,1,Yes,Yes,2021-01-26,United Kingdom,Retail,Mid-Market,Email Campaign,Desktop
56,1658-BYGOY,Male,1,No,No,2024-07-09,Australia,Finance,SMB,LinkedIn,Desktop
57,8769-KKTPH,Female,0,Yes,Yes,2020-10-28,United States,Retail,Enterprise,LinkedIn,
58,5067-XJQFU,Male,1,Yes,Yes,2020-07-30,United States,Healthcare,Mid-Market,Referral,Mobile
59,3957-SQXML,Female,0,Yes,Yes,2023-03-17,United States,Education,Mid-Market,Google Ads,Tablet
60,5954-BDFSG,Female,0,No,No,2020-02-01,United States,Healthcare,Mid-Market,Referral,Desktop
61,0434-CSFON,Female,0,Yes,No,2022-02-20,United States,Healthcare,SMB,Email Campaign,Mobile
62,1215-FIGMP,Male,0,No,No,2021-01-26,United States,Manufacturing,Mid-Market,Referral,Desktop
63,0526-SXDJP,Male,0,Yes,No,2020-02-01,India,Finance,Startup,Email Campaign,Desktop
64,0557-ASKVU,Female,0,Yes,Yes,2024-07-09,United States,Technology,Startup,Referral,Desktop
65,5698-BQJOH,Female,0,No,No,2025-04-05,United States,Healthcare,SMB,Partner,Desktop
66,5122-CYFXA,Female,0,No,No,2025-10-02,Canada,Retail,SMB,Google Ads,Mobile
67,8627-ZYGSZ,Male,0,Yes,No,2022-02-20,United States,Technology,SMB,Partner,Desktop
68,3410-YOQBQ,Female,0,No,No,2023-06-15,India,Retail,SMB,Organic Search,Desktop
69,3170-NMYVV,Female,0,Yes,Yes,2021-11-22,United States,Retail,SMB,,Desktop
70,7410-OIEDU,Male,0,No,No,2025-03-06,Australia,Technology,SMB,Referral,Desktop
71,2273-QCKXA,Male,0,No,No,2025-12-01,India,Technology,Startup,LinkedIn,Desktop
72,0731-EBJQB,Female,0,Yes,Yes,2021-09-23,United States,Retail,Enterprise,Organic Search,Mobile
73,1891-QRQSA,Male,1,Yes,Yes,2020-09-28,United States,Finance,Enterprise,LinkedIn,Tablet
74,8028-PNXHQ,Male,0,Yes,Yes,2020-11-27,India,Education,Enterprise,Partner,
75,5630-AHZIL,Female,0,No,Yes,2025-10-02,Germany,Manufacturing,SMB,Google Ads,Mobile
76,2673-CXQEU,Female,1,No,No,2021-05-26,Germany,Education,SMB,Organic Search,Desktop
77,6416-JNVRK,Female,0,No,No,2022-03-22,India,Finance,Enterprise,Partner,Desktop
78,5590-ZSKRV,Female,0,Yes,Yes,2025-05-05,United States,Manufacturing,Enterprise,Referral,Mobile
79,0191-ZHSKZ,Male,1,No,No,2023-07-15,United States,Technology,Mid-Market,LinkedIn,Desktop
80,3887-PBQAO,Female,0,Yes,Yes,2022-04-21,United States,Manufacturing,SMB,Referral,Desktop
81,5919-TMRGD,Female,0,No,Yes,2025-12-01,India,Retail,SMB,Email Campaign,
82,8108-UXRQN,Female,0,Yes,Yes,2025-02-04,United Kingdom,Education,Mid-Market,Organic Search,Desktop
83,9191-MYQKX,Female,0,Yes,No,2025-06-04,United States,Manufacturing,Startup,LinkedIn,Desktop
84,9919-YLNNG,Female,0,No,No,2022-07-20,United States,Retail,SMB,Google Ads,Desktop
85,0318-ZOPWS,Female,0,Yes,No,2021-12-22,United States,Finance,Mid-Market,Google Ads,Desktop
86,4445-ZJNMU,Male,0,No,No,2025-04-05,United States,Manufacturing,Mid-Market,Google Ads,Mobile
87,4808-YNLEU,Female,0,Yes,No,2023-02-15,Germany,Retail,SMB,Partner,Desktop
88,1862-QRWPE,Female,0,Yes,Yes,2022-01-21,United Kingdom,Finance,SMB,Google Ads,Desktop
89,2796-NNUFI,Female,0,Yes,Yes,2022-03-22,India,Technology,Enterprise,LinkedIn,Desktop
90,3016-KSVCP,Male,0,Yes,No,2023-08-14,Canada,Finance,SMB,Partner,Mobile
91,4767-HZZHQ,Male,0,Yes,Yes,2023-07-15,United States,Finance,Mid-Market,Email Campaign,Desktop
92,2424-WVHPL,Male,1,No,No,2025-12-01,Germany,Education,Mid-Market,Google Ads,Mobile
93,7233-PAHHL,Male,0,Yes,Yes,2020-07-30,India,Retail,Mid-Market,Google Ads,Desktop
94,6067-NGCEU,Female,0,No,No,2020-08-29,United Kingdom,Manufacturing,Mid-Market,Partner,Tablet
95,9848-JQJTX,Male,0,No,No,2020-02-01,India,Education,SMB,Google Ads,Desktop
96,8637-XJIVR,Female,0,No,No,2025-01-05,Canada,Healthcare,SMB,Email Campaign,Desktop
97,9803-FTJCG,Male,0,Yes,Yes,2020-03-02,Canada,Finance,SMB,,Desktop
98,0278-YXOOG,Male,0,No,No,2025-08-03,United States,Healthcare,Startup,Partner,Mobile
99,3212-KXOCR,Male,0,No,No,2021-09-23,United States,Education,Startup,Organic Search,Mobile
100,4598-XLKNJ,Female,1,Yes,No,2023-12-12,United States,Retail,Startup,Partner,Desktop
101,6380-ARCEH,Male,0,No,No,2025-12-01,United States,Education,Mid-Market,Google Ads,Desktop
102,3679-XASPY,Female,0,Yes,Yes,2025-12-01,United Kingdom,Retail,Startup,Partner,Mobile
103,7123-WQUHX,Male,0,No,No,2022-11-17,United States,Retail,Startup,Google Ads,Tablet
104,5386-THSLQ,Female,1,Yes,No,2020-07-30,Canada,Technology,Startup,Google Ads,Tablet
105,3192-NQECA,Male,0,Yes,No,2020-05-31,Australia,Finance,SMB,Partner,Mobile
106,6180-YBIQI,Male,0,No,No,2025-08-03,United States,Education,Startup,Organic Search,Desktop
107,6728-DKUCO,Female,0,Yes,Yes,2020-02-01,United States,Retail,SMB,Google Ads,Desktop
108,9750-BOOHV,Female,0,No,No,2023-05-16,India,Education,Startup,Organic Search,Mobile
109,8597-CWYHH,Male,0,No,No,2022-06-20,United States,Education,Mid-Market,Organic Search,Mobile
110,2848-YXSMW,Male,0,Yes,Yes,2020-02-01,United States,Retail,Enterprise,Partner,Tablet
111,0486-HECZI,Male,0,Yes,No,2021-06-25,United States,Manufacturing,Enterprise,Referral,Mobile
112,4549-ZDQYY,Female,0,No,No,2021-09-23,United States,Healthcare,SMB,Referral,Mobile
113,5712-AHQNN,Female,0,No,No,2022-06-20,Australia,Finance,SMB,Google Ads,Mobile
114,4846-WHAFZ,Female,1,Yes,No,2022-12-17,India,Finance,SMB,LinkedIn,Mobile
115,5256-SKJGO,Female,0,Yes,Yes,2020-09-28,United Kingdom,Manufacturing,SMB,Referral,Mobile
116,3071-VBYPO,Male,0,Yes,Yes,2025-10-02,India,Technology,SMB,Partner,Desktop
117,9560-BBZXK,Female,0,No,No,2023-01-16,India,Manufacturing,Startup,Partner,Mobile
118,5299-RULOA,Female,0,Yes,Yes,2025-03-06,United States,Technology,Mid-Market,Referral,Tablet
119,8402-OOOHJ,Female,0,No,No,2022-08-19,India,Technology,Startup,LinkedIn,Desktop
120,9445-ZUEQE,Male,0,Yes,Yes,2023-10-13,Canada,Manufacturing,SMB,Email Campaign,Mobile
121,1091-SOZGA,Female,0,Yes,Yes,2021-05-26,India,Finance,SMB,Google Ads,Desktop
122,2928-HLDBA,Female,0,No,No,2025-07-04,India,Healthcare,SMB,Email Campaign,Mobile
123,0404-SWRVG,Male,0,No,No,2025-10-02,United States,Finance,Mid-Market,Email Campaign,Mobile
124,6497-TILVL,Female,0,Yes,Yes,2025-06-04,United States,Finance,SMB,Organic Search,Tablet
125,7219-TLZHO,Female,0,Yes,Yes,2025-09-02,United States,Finance,SMB,Organic Search,Mobile
126,4622-YNKIJ,Male,0,No,No,2023-04-16,United States,Manufacturing,SMB,Google Ads,Desktop
127,4412-YLTKF,Female,1,No,No,2023-10-13,India,Manufacturing,Startup,LinkedIn,Desktop
128,6734-PSBAW,Male,0,Yes,No,2020-02-01,India,Manufacturing,SMB,Organic Search,Mobile
129,3930-ZGWVE,Male,0,No,No,2025-12-01,United States,Finance,Enterprise,Referral,Desktop
130,2639-UGMAZ,Male,1,No,No,2020-03-02,Canada,Healthcare,Enterprise,Google Ads,Mobile
131,2876-GZYZC,Female,0,No,No,2024-12-06,United States,Technology,Mid-Market,,Desktop
132,6207-WIOLX,Female,0,Yes,Yes,2023-12-12,United States,Education,Startup,Email Campaign,Mobile
133,8587-XYZSF,Male,0,No,No,2020-06-30,United States,Technology,Startup,Google Ads,Desktop
134,3091-FYHKI,Male,0,No,No,2025-12-01,United States,Technology,SMB,Partner,Tablet
135,2372-HWUHI,Male,0,No,No,2025-11-01,Australia,Education,Mid-Market,Partner,Mobile
136,7799-LGRDP,Female,0,No,No,2022-06-20,United States,Finance,Mid-Market,Organic Search,Desktop
137,7850-VWJUU,Female,0,No,No,2024-02-10,Canada,Healthcare,Mid-Market,Partner,Mobile
138,3774-VBNXY,Female,0,Yes,Yes,2020-09-28,Germany,Healthcare,SMB,LinkedIn,Tablet
139,6217-KDYWC,Male,0,No,Yes,2021-04-26,United States,Technology,Startup,Partner,Mobile
140,0390-DCFDQ,Female,1,Yes,No,2025-12-01,Australia,Education,Startup,Partner,
141,3146-MSEGF,Female,1,Yes,Yes,2020-02-01,Australia,Retail,Startup,Email Campaign,Tablet
142,4080-OGPJL,Female,0,No,No,2025-05-05,United States,Finance,SMB,LinkedIn,Desktop
143,1095-WGNGG,Female,0,Yes,No,2020-12-27,Canada,Technology,Startup,Google Ads,Desktop
144,2636-SJDOU,Male,0,No,No,2020-09-28,United States,Healthcare,Mid-Market,LinkedIn,Mobile
145,1131-QQZEB,Male,1,Yes,No,2020-03-02,United States,Manufacturing,SMB,LinkedIn,Desktop
146,5716-EZXZN,Female,0,Yes,Yes,2020-08-29,United States,Manufacturing,Startup,Google Ads,Desktop
147,6837-BJYDQ,Male,0,No,No,2025-10-02,United Kingdom,Education,Startup,Email Campaign,Mobile
148,2135-RXIHG,Male,0,No,No,2025-12-01,Canada,Education,Startup,Partner,Mobile
149,6440-DKQGE,Male,0,No,Yes,2023-07-15,United States,Technology,Mid-Market,LinkedIn,Desktop
150,3466-BYAVD,Male,0,Yes,Yes,2024-10-07,United States,Retail,SMB,,Mobile
151,3780-YVMFA,Female,0,Yes,Yes,2025-05-05,Australia,Healthcare,Startup,Google Ads,Mobile
152,3874-EQOEP,Male,0,No,No,2025-06-04,United States,Technology,Mid-Market,Referral,Mobile
153,1679-JRFBR,Female,0,Yes,Yes,2020-04-01,United States,Retail,SMB,LinkedIn,Mobile
154,9073-ZZIAY,Male,0,Yes,Yes,2020-11-27,Canada,Education,SMB,Organic Search,Desktop
155,3077-RSNTJ,Female,0,Yes,Yes,2025-07-04,Australia,Manufacturing,Mid-Market,Partner,Mobile
156,6551-GNYDG,Female,0,Yes,Yes,2024-11-06,United States,Finance,Mid-Market,Partner,Mobile
157,9167-APMXZ,Female,0,No,No,2024-03-11,Germany,Manufacturing,SMB,Email Campaign,Mobile
158,2749-CTKAJ,Male,0,Yes,Yes,2024-03-11,India,Healthcare,SMB,LinkedIn,Desktop
159,6371-NZYEG,Male,0,Yes,Yes,2024-09-07,United States,Healthcare,SMB,Google Ads,Desktop
160,7554-NEWDD,Male,0,No,No,2025-03-06,Germany,Manufacturing,Mid-Market,Organic Search,Desktop
161,8992-VONJD,Female,0,No,Yes,2024-12-06,United States,Manufacturing,SMB,Google Ads,Mobile
162,0867-MKZVY,Female,0,Yes,No,2024-05-10,United Kingdom,Retail,Mid-Market,LinkedIn,Desktop
163,4482-EWFMI,Female,0,No,No,2025-11-01,United Kingdom,Technology,Mid-Market,Organic Search,Desktop
164,4648-YPBTM,Male,0,No,No,2021-08-24,Canada,Education,Enterprise,Email Campaign,Mobile
165,2907-ILJBN,Female,0,Yes,Yes,2025-02-04,United States,Retail,Startup,Email Campaign,Mobile
166,6345-FZOQH,Male,0,Yes,No,2020-05-01,India,Finance,Startup,Email Campaign,
167,3376-BMGFE,Female,0,No,No,2025-09-02,United States,Manufacturing,Startup,Referral,Tablet
168,5997-OPVFA,Male,0,Yes,No,2020-02-01,United States,Finance,Mid-Market,Google Ads,Desktop
169,3445-HXXGF,Male,1,Yes,No,2021-03-27,United States,Finance,SMB,LinkedIn,Desktop
170,1159-WFSGR,Female,0,Yes,Yes,2024-09-07,United Kingdom,Retail,Startup,Organic Search,Mobile
171,7654-YWJUF,Male,0,Yes,No,2022-06-20,Germany,Education,Startup,,Desktop
172,1875-QIVME,Female,0,Yes,No,2025-11-01,United States,Healthcare,Startup,Partner,
173,6727-IOTLZ,Male,0,Yes,No,2024-11-06,Canada,Technology,Startup,Google Ads,Desktop
174,0691-JVSYA,Female,0,Yes,No,2021-08-24,United States,Healthcare,Startup,LinkedIn,Desktop
175,5918-VUKWP,Female,0,No,No,2023-05-16,United Kingdom,Education,SMB,Referral,Mobile
176,1744-JHKYS,Female,0,Yes,No,2023-03-17,United States,Healthcare,Startup,LinkedIn,Mobile
177,2656-FMOKZ,Female,1,No,No,2024-10-07,Germany,Manufacturing,Startup,Google Ads,Tablet
178,2070-FNEXE,Female,1,No,No,2025-06-04,United States,Manufacturing,Mid-Market,LinkedIn,Desktop
179,5947-SGKCL,Female,0,Yes,Yes,2024-10-07,Australia,Retail,Mid-Market,Partner,Desktop
180,3712-PKXZA,Male,0,Yes,No,2020-12-27,United States,Finance,Startup,Partner,Desktop
181,6317-YPKDH,Female,0,No,No,2025-12-01,United States,Education,Startup,Organic Search,Mobile
182,6582-OIVSP,Female,0,No,No,2025-12-01,United States,Education,Mid-Market,Referral,Mobile
183,9367-WXLCH,Male,0,No,No,2025-05-05,Australia,Healthcare,SMB,Partner,Tablet
184,5524-KHNJP,Male,0,Yes,Yes,2023-04-16,India,Retail,Startup,Organic Search,Mobile
185,1918-ZBFQJ,Female,0,No,No,2024-12-06,United States,Healthcare,Startup,,Tablet
186,1024-GUALD,Female,0,Yes,No,2025-12-01,Germany,Healthcare,Startup,Partner,Tablet
187,4827-USJHP,Male,0,No,No,2024-05-10,India,Education,SMB,Referral,Desktop
188,8167-GJLRN,Male,0,No,No,2025-10-02,United Kingdom,Healthcare,Mid-Market,LinkedIn,Desktop
189,0956-SYCWG,Female,0,No,No,2024-12-06,Canada,Finance,Mid-Market,Organic Search,Desktop
190,8017-UVSZU,Female,0,Yes,No,2022-09-18,United States,Healthcare,SMB,Referral,Desktop
191,7100-FQPRV,Male,0,Yes,Yes,2022-06-20,United States,Finance,SMB,Referral,Desktop
192,2472-OVKUP,Male,0,Yes,No,2025-07-04,India,Education,SMB,LinkedIn,Desktop
193,2984-RGEYA,Female,0,Yes,Yes,2020-05-01,Australia,Retail,SMB,Partner,Desktop
194,9680-NIAUV,Female,0,Yes,Yes,2020-02-01,United Kingdom,Manufacturing,Startup,Partner,Desktop
195,2146-EGVDT,Male,0,Yes,Yes,2021-02-25,United States,Finance,SMB,Google Ads,Desktop
196,2604-IJPDU,Female,0,Yes,No,2024-05-10,United States,Retail,Mid-Market,Google Ads,Desktop
197,9178-JHUVJ,Male,0,Yes,Yes,2024-01-11,Germany,Retail,SMB,Partner,Desktop
198,6168-YBYNP,Male,0,No,No,2021-02-25,India,Finance,Mid-Market,,Desktop
199,7255-SSFBC,Male,0,Yes,Yes,2020-02-01,India,Education,SMB,Email Campaign,Desktop
200,3645-DEYGF,Male,0,No,Yes,2025-12-01,India,Technology,SMB,Referral,Mobile
201,9323-HGFWY,Female,0,Yes,No,2023-10-13,United Kingdom,Retail,Startup,Partner,Desktop
202,8544-GOQSH,Female,0,No,No,2024-11-06,United States,Retail,SMB,Google Ads,
203,3363-DTIVD,Male,0,Yes,Yes,2020-03-02,United States,Education,Mid-Market,,Mobile
204,7018-WBJNK,Male,0,No,Yes,2024-12-06,India,Education,SMB,Organic Search,Desktop
205,9142-KZXOP,Male,0,No,No,2022-05-21,United Kingdom,Healthcare,Startup,Google Ads,Desktop
206,7674-YTAFD,Female,0,No,No,2023-04-16,United States,Education,Startup,Google Ads,
207,6348-SNFUS,Male,0,Yes,Yes,2020-02-01,United States,Retail,SMB,Google Ads,Desktop
208,1285-OKIPP,Male,0,No,No,2025-12-01,Germany,Finance,SMB,Email Campaign,Mobile
209,7825-ECJRF,Female,0,No,No,2024-06-09,United States,Technology,SMB,LinkedIn,Tablet
210,1347-KTTTA,Male,0,Yes,No,2020-09-28,United States,Healthcare,Enterprise,LinkedIn,Tablet
211,7841-TZDMQ,Male,0,No,No,2025-11-01,Canada,Finance,Mid-Market,Email Campaign,Mobile
212,4195-NZGTA,Female,0,No,No,2025-12-01,Germany,Technology,SMB,Partner,Desktop
213,7157-SMCFK,Male,0,No,Yes,2020-12-27,Germany,Technology,Startup,Partner,Desktop
214,4709-LKHYG,Female,0,Yes,Yes,2023-08-14,United States,Technology,Startup,Email Campaign,Mobile
215,2504-DSHIH,Male,1,Yes,No,2024-02-10,Germany,Manufacturing,SMB,Email Campaign,Mobile
216,0699-NDKJM,Female,0,Yes,No,2021-04-26,United States,Finance,Mid-Market,Partner,Desktop
217,9286-BHDQG,Male,0,Yes,Yes,2020-02-01,United States,Healthcare,Mid-Market,LinkedIn,Tablet
218,0230-WEQUW,Male,0,Yes,No,2020-07-30,Germany,Healthcare,SMB,Referral,Desktop
219,2040-LDIWQ,Male,0,Yes,Yes,2020-08-29,United Kingdom,Technology,Startup,Email Campaign,Desktop
220,6496-JDSSB,Female,0,No,No,2025-05-05,India,Finance,Enterprise,Referral,Tablet
221,9408-SSNVZ,Female,0,No,No,2025-09-02,Germany,Manufacturing,Enterprise,Referral,Tablet
222,4443-EMBNA,Female,0,Yes,No,2020-03-02,United Kingdom,Technology,SMB,Organic Search,Mobile
223,6469-MRVET,Male,0,Yes,Yes,2025-12-01,United States,Education,Startup,LinkedIn,Desktop
224,0742-MOABM,Male,0,Yes,No,2025-09-02,United States,Healthcare,SMB,Referral,Desktop
225,5961-VUSRV,Female,0,No,No,2025-01-05,United States,Retail,Mid-Market,LinkedIn,Desktop
226,6778-JFCMK,Male,0,No,No,2024-01-11,United States,Technology,SMB,LinkedIn,Mobile
227,6341-JVQGF,Female,0,Yes,Yes,2023-06-15,Australia,Education,Mid-Market,Organic Search,Desktop
228,2232-DMLXU,Female,0,Yes,No,2025-12-01,United States,Healthcare,Startup,Partner,Mobile
229,4811-JBUVU,Male,0,No,No,2023-07-15,India,Manufacturing,Startup,LinkedIn,Desktop
230,0945-TSONX,Female,0,Yes,Yes,2022-02-20,United Kingdom,Finance,Startup,Referral,Desktop
231,2651-ZCBXV,Male,0,No,No,2021-07-25,India,Healthcare,Enterprise,Partner,Mobile
232,3316-UWXUY,Male,0,No,No,2021-11-22,Canada,Finance,SMB,Partner,Tablet
233,8937-RDTHP,Male,0,No,No,2025-12-01,United Kingdom,Finance,Mid-Market,Google Ads,Desktop
234,7083-MIOPC,Female,0,No,No,2020-02-01,Canada,Manufacturing,Startup,Referral,Mobile
235,1984-GPTEH,Female,0,No,No,2023-08-14,United States,Manufacturing,Enterprise,Referral,Desktop
236,1251-KRREG,Male,0,No,No,2025-11-01,Germany,Technology,Mid-Market,LinkedIn,Mobile
237,0621-JFHOL,Female,0,No,No,2025-03-06,United States,Technology,Startup,Referral,Tablet
238,9903-LYSAB,Male,0,Yes,No,2024-07-09,United States,Healthcare,Mid-Market,Google Ads,Desktop
239,0094-OIFMO,Female,1,No,No,2025-02-04,United Kingdom,Manufacturing,Startup,LinkedIn,Desktop
240,9227-UAQFT,Male,0,No,No,2024-09-07,United States,Education,Startup,Email Campaign,Desktop
241,7301-ABVAD,Female,0,No,No,2020-02-01,Australia,Healthcare,Startup,Referral,Desktop
242,6614-FHDBO,Male,0,No,No,2020-02-01,Australia,Retail,Enterprise,Referral,Mobile
243,7576-ASEJU,Female,0,Yes,Yes,2022-08-19,Australia,Finance,Enterprise,Organic Search,Desktop
244,9058-HRZSV,Female,1,Yes,No,2020-08-29,United States,Finance,Startup,Email Campaign,Desktop
245,4522-AKYLR,Female,1,No,No,2024-12-06,United States,Technology,Mid-Market,Email Campaign,Mobile
246,0221-WMXNQ,Male,1,No,No,2025-09-02,Australia,Education,SMB,Google Ads,Mobile
247,0303-UNCIP,Male,0,No,No,2022-08-19,United States,Manufacturing,Mid-Market,Email Campaign,Desktop
248,9947-OTFQU,Male,1,No,No,2024-10-07,Australia,Manufacturing,Startup,Organic Search,Mobile
249,0322-YINQP,Male,0,No,No,2025-12-01,Australia,Technology,SMB,Google Ads,Mobile
250,0959-WHOKV,Male,0,No,No,2022-07-20,India,Retail,SMB,Email Campaign,Desktop
251,4075-JFPGR,Female,0,Yes,No,2021-10-23,United States,Healthcare,Startup,Google Ads,Mobile
252,4629-NRXKX,Female,0,Yes,Yes,2025-11-01,United States,Healthcare,SMB,Email Campaign,Mobile
253,9514-JDSKI,Male,1,Yes,No,2025-12-01,India,Education,SMB,Email Campaign,Desktop
254,3282-ZISZV,Male,0,No,Yes,2023-05-16,United States,Technology,Startup,Partner,Mobile
255,3675-YDUPJ,Male,0,No,No,2025-03-06,United States,Technology,Enterprise,Email Campaign,
256,4111-BNXIF,Female,0,Yes,Yes,2020-06-30,United Kingdom,Retail,Startup,Referral,Mobile
257,7017-VFHAY,Female,0,Yes,Yes,2020-12-27,Australia,Healthcare,Enterprise,Email Campaign,Mobile
258,6655-LHBYW,Male,0,No,No,2021-11-22,Germany,Technology,Startup,Referral,Mobile
259,4959-JOSRX,Female,0,Yes,No,2025-11-01,United Kingdom,Manufacturing,Startup,LinkedIn,Mobile
260,5046-NUHWD,Female,1,Yes,No,2023-08-14,United States,Education,Startup,,Mobile
261,7273-TEFQD,Male,1,No,No,2025-10-02,United Kingdom,Healthcare,Mid-Market,Organic Search,
262,3606-TWKGI,Male,1,No,No,2024-12-06,Australia,Retail,Mid-Market,Google Ads,Desktop
263,7529-ZDFXI,Male,1,Yes,No,2021-04-26,United States,Education,Startup,Google Ads,Desktop
264,7605-BDWDC,Female,0,No,No,2023-06-15,Canada,Finance,Startup,LinkedIn,Desktop
265,1950-KSVVJ,Female,0,Yes,No,2022-04-21,India,Manufacturing,SMB,Email Campaign,Desktop
266,0123-CRBRT,Female,0,Yes,Yes,2020-12-27,Germany,Retail,SMB,Organic Search,Desktop
