payment_id,subscription_id,payment_date,amount,payment_status,refund_flag
500449,100053,2024-10-01,29.0,Paid,False
500450,100053,2024-11-01,29.0,Paid,False
500451,100053,2024-12-01,29.0,Paid,False
500452,100053,2025-01-01,29.0,Paid,False
500453,100053,2025-02-01,29.0,Paid,False
500454,100053,2025-03-01,29.0,Paid,False
500455,100053,2025-04-01,29.0,Paid,False
500456,100053,2025-05-01,29.0,Paid,False
500457,100053,2025-06-01,29.0,Paid,False
500458,100053,2025-07-01,29.0,Paid,False
500459,100053,2025-08-01,29.0,Paid,False
500460,100053,2025-09-01,29.0,Paid,False
500461,100053,2025-10-01,29.0,Paid,False
500462,100053,2025-11-01,29.0,Paid,False
500463,100053,2025-12-01,29.0,Paid,False
500464,100054,2025-05-05,29.0,Paid,False
500465,100054,2025-06-05,29.0,Paid,False
500466,100054,2025-07-05,29.0,Paid,False
500467,100054,2025-08-05,29.0,Paid,False
500468,100054,2025-09-05,29.0,Paid,False
500469,100054,2025-10-05,29.0,Paid,False
500470,100054,2025-11-05,29.0,Paid,False
500471,100054,2025-12-05,29.0,Paid,False
500472,100055,2024-01-01,75.05,Paid,False
500473,100055,2025-01-01,75.05,Paid,False
500474,100056,2024-07-09,26.1,Paid,False
500475,100056,2024-08-09,26.1,Paid,False
500476,100056,2024-09-09,26.1,Paid,False
500477,100056,2024-10-09,26.1,Paid,False
500478,100056,2024-11-09,26.1,Paid,False
500479,100056,2024-12-09,26.1,Paid,False
500480,100056,2025-01-09,26.1,Paid,False
500481,100056,2025-02-09,26.1,Paid,False
500482,100056,2025-03-09,26.1,Paid,False
500483,100056,2025-04-09,26.1,Paid,False
500484,100056,2025-05-09,26.1,Paid,False
500485,100056,2025-06-09,26.1,Paid,False
500486,100056,2025-07-09,26.1,Paid,False
500487,100056,2025-08-09,26.1,Paid,False
500488,100056,2025-09-09,26.1,Paid,False
500489,100056,2025-10-09,26.1,Paid,False
500490,100056,2025-11-09,26.1,Paid,False
500491,100056,2025-12-09,26.1,Paid,False
500492,100057,2024-01-01,79.0,Paid,False
500493,100057,2025-01-01,79.0,Paid,False
500494,100058,2024-01-01,75.05,Paid,False
500495,100058,2025-01-01,75.05,Paid,False
500496,100059,2024-01-01,199.0,Paid,False
500497,100059,2025-01-01,199.0,Paid,False
500498,100060,2024-01-01,199.0,Paid,False
500499,100060,2025-01-01,199.0,Paid,False
500500,100061,2024-01-01,29.0,Paid,False
500501,100061,2024-02-01,29.0,Paid,False
500502,100061,2024-03-01,29.0,Paid,False
500503,100061,2024-04-01,29.0,Paid,False
500504,100061,2024-05-01,29.0,Paid,False
500505,100061,2024-06-01,29.0,Paid,False
500506,100061,2024-07-01,29.0,Failed,False
500507,100061,2024-08-01,29.0,Paid,False
500508,100061,2024-09-01,29.0,Paid,False
500509,100061,2024-10-01,29.0,Failed,False
500510,100061,2024-11-01,29.0,Paid,False
500511,100061,2024-12-01,29.0,Paid,False
500512,100061,2025-01-01,29.0,Paid,False
500513,100061,2025-02-01,29.0,Paid,False
500514,100061,2025-03-01,29.0,Paid,False
500515,100061,2025-04-01,29.0,Paid,False
500516,100061,2025-05-01,29.0,Paid,False
500517,100061,2025-06-01,29.0,Paid,False
500518,100061,2025-07-01,29.0,Paid,False
500519,100061,2025-08-01,29.0,Paid,False
500520,100061,2025-09-01,29.0,Paid,False
500521,100061,2025-10-01,29.0,Paid,False
500522,100061,2025-11-01,29.0,Paid,False
500523,100061,2025-12-01,29.0,Paid,False
500524,100062,2024-01-01,29.0,Paid,False
500525,100062,2024-02-01,29.0,Paid,False
500526,100062,2024-03-01,29.0,Paid,False
500527,100062,2024-04-01,29.0,Paid,False
500528,100062,2024-05-01,29.0,Paid,False
500529,100062,2024-06-01,29.0,Paid,False
500530,100062,2024-07-01,29.0,Paid,False
500531,100062,2024-08-01,29.0,Paid,False
500532,100062,2024-09-01,29.0,Paid,False
500533,100062,2024-10-01,29.0,Paid,False
500534,100062,2024-11-01,29.0,Paid,False
500535,100062,2024-12-01,29.0,Paid,False
500536,100062,2025-01-01,29.0,Paid,False
500537,100062,2025-02-01,29.0,Paid,False
500538,100062,2025-03-01,29.0,Paid,False
500539,100062,2025-04-01,29.0,Paid,False
500540,100062,2025-05-01,29.0,Paid,False
500541,100062,2025-06-01,29.0,Paid,False
500542,100062,2025-07-01,29.0,Paid,False
500543,100062,2025-08-01,29.0,Paid,False
500544,100062,2025-09-01,29.0,Paid,False
500545,100062,2025-10-01,29.0,Paid,False
500546,100062,2025-11-01,29.0,Paid,False
500547,100062,2025-12-01,29.0,Paid,False
500548,100063,2024-01-01,179.1,Paid,False
500549,100063,2025-01-01,179.1,Paid,False
500550,100064,2024-07-09,79.0,Paid,False
500551,100064,2025-07-09,79.0,Paid,False
500552,100065,2025-04-05,29.0,Failed,False
500553,100065,2025-05-05,29.0,Paid,False
500554,100065,2025-06-05,29.0,Paid,False
500555,100065,2025-07-05,29.0,Paid,False
500556,100065,2025-08-05,29.0,Paid,False
500557,100065,2025-09-05,29.0,Paid,False
500558,100065,2025-10-05,29.0,Paid,False
500559,100065,2025-11-05,29.0,Paid,False
500560,100065,2025-12-05,29.0,Paid,False
500561,100066,2025-10-02,27.55,Paid,False
500562,100066,2025-11-02,27.55,Paid,False
500563,100066,2025-12-02,27.55,Paid,False
500564,100067,2024-01-01,75.05,Paid,False
500565,100067,2025-01-01,75.05,Paid,False
500566,100068,2024-01-01,199.0,Paid,False
500567,100068,2025-01-01,199.0,Paid,False
500568,100069,2024-01-01,199.0,Paid,False
500569,100069,2025-01-01,199.0,Refunded,True
500570,100070,2025-03-06,29.0,Paid,False
500571,100070,2025-04-06,29.0,Paid,False
500572,100070,2025-05-06,29.0,Paid,False
500573,100070,2025-06-06,29.0,Paid,False
500574,100070,2025-07-06,29.0,Paid,False
500575,100070,2025-08-06,29.0,Paid,False
500576,100070,2025-09-06,29.0,Paid,False
500577,100070,2025-10-06,29.0,Paid,False
500578,100070,2025-11-06,29.0,Paid,False
500579,100070,2025-12-06,29.0,Paid,False
500580,100071,2025-12-01,29.0,Paid,False
500581,100072,2024-01-01,75.05,Paid,False
500582,100072,2025-01-01,75.05,Paid,False
500583,100073,2024-01-01,199.0,Refunded,True
500584,100073,2025-01-01,199.0,Paid,False
500585,100074,2024-01-01,189.05,Paid,False
500586,100074,2025-01-01,189.05,Paid,False
500587,100075,2025-10-02,29.0,Paid,False
500588,100075,2025-11-02,29.0,Paid,False
500589,100075,2025-12-02,29.0,Paid,False
500590,100076,2024-01-01,79.0,Paid,False
500591,100076,2025-01-01,79.0,Paid,False
500592,100077,2024-01-01,75.05,Paid,False
500593,100077,2025-01-01,75.05,Paid,False
500594,100078,2025-05-05,29.0,Paid,False
500595,100078,2025-06-05,29.0,Paid,False
500596,100078,2025-07-05,29.0,Paid,False
500597,100078,2025-08-05,29.0,Paid,False
500598,100078,2025-09-05,29.0,Paid,False
500599,100078,2025-10-05,29.0,Paid,False
500600,100078,2025-11-05,29.0,Paid,False
500601,100078,2025-12-05,29.0,Paid,False
500602,100079,2024-01-01,29.0,Paid,False
500603,100079,2024-02-01,29.0,Paid,False
500604,100079,2024-03-01,29.0,Refunded,True
500605,100079,2024-04-01,29.0,Paid,False
